Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2006,1343.21,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2007,1373.02,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2008,1386.58,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2009,1318.94,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2010,1276.41,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2011,1282.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2012,1360.87,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2013,167.54,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2030,1636.09,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2050,1840.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1961,9272.23,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1962,9347.64,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1963,9637.27,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1964,9808.82,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1965,10035.01,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1966,10380.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1967,10490.51,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1968,10839.02,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1969,10769.76,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1970,10863.92,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1971,10766.53,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1972,8742.31,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1973,9332.18,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1974,10008.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1975,10728.92,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1976,10973.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1977,10729.72,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1978,10660.47,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1979,10396.15,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1980,10407.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1981,10376.59,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1982,10392.17,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1983,9791,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1984,8856.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1985,7959.76,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1986,6575.46,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1987,7114.51,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1988,7465.84,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1989,7375.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1990,7351.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1991,7639.28,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1992,7639.22,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1993,7710.19,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1994,7706.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1995,8087.76,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1996,8975.11,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1997,9857.56,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1998,10587.46,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,1999,11518.31,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2000,9989.08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2001,8475.73,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2002,10128.31,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2003,10575.95,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2004,10359.52,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2005,10731.72,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2006,10921.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2007,10765.23,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2008,12027.52,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2009,12562.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2010,14318.11,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2011,14416.65,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2012,13899.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2013,5663.44,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2030,16999.19,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,2,Afghanistan,7231,Emissions (CO2eq),1711,Agriculture total,2050,22956.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1961,1794.48,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1962,1804.18,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1963,1783.96,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1964,1788.92,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1965,1905.05,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1966,1901.93,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1967,1943.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1968,1878.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1969,1814.03,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1970,1843.92,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1971,1828.36,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1972,1800.39,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1973,1861.67,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1974,1914.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1975,1940.4,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1976,2113.19,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1977,2207.71,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1978,2460.56,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1979,2539.36,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1980,2597.68,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1981,2662.15,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1982,2678.56,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1983,2738.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1984,2755.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1985,2678.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1986,2774.38,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1987,2877.88,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1988,3013.56,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1989,3141.62,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1990,3016.54,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1991,2662.66,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1992,2578.44,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1993,2756.02,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1994,3444.37,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1995,3479.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1996,3164.39,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1997,2977.9,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1998,2920.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,1999,2915.81,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2000,2997.05,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2001,2918.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2002,3013.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2003,3050.54,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2004,2935.55,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2005,2921.34,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2006,2836.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2007,2723.47,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2008,2580.87,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2009,2498.44,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2010,2481.02,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2011,2509,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2012,2534.95,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2013,838.13,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2030,3053.06,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,3,Albania,7231,Emissions (CO2eq),1711,Agriculture total,2050,3046.95,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1961,2982.57,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1962,2951.53,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1963,2618.62,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1964,2724.37,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1965,3187.21,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1966,3235.87,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1967,3859.13,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1968,4113.72,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1969,4257.82,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1970,4425.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1971,4651.45,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1972,4871.68,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1973,4706.28,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1974,4772.82,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1975,4954.11,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1976,4905.71,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1977,5213.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1978,5516.44,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1979,6038.51,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1980,6538.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1981,6432.61,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1982,6643.1,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1983,6967.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1984,7011.73,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1985,7190.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1986,7141.29,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1987,7109.61,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1988,6816.04,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1989,7065.76,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1990,7303.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1991,7079.17,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1992,7387.53,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1993,7494.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1994,7134.49,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1995,7057.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1996,7150.46,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1997,6990.83,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1998,7754.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,1999,7833.08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,2000,7752.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,2001,7984.01,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,2002,7792.23,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,4,Algeria,7231,Emissions (CO2eq),1711,Agriculture total,2003,8027.75,A,"Aggregate, may include official, semi-official, estimated or calculated data"
